Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Indicadores,€/MWh,€/MWh.1,€/MWh.2,€/MWh.3,€/MWh.4,€/MWh.5,€/MWh.6,€/MWh.7,€/MWh.8,€/MWh.9,€/MWh.10,€/MWh.11,€/MWh.12,€/MWh.13,€/MWh.14,€/MWh.15,€/MWh.16,€/MWh.17,€/MWh.18,€/MWh.19,€/MWh.20,€/MWh.21,€/MWh.22,€/MWh.23,€/MWh.24,€/MWh.25,€/MWh.26,€/MWh.27,€/MWh.28,€/MWh.29,€/MWh.30,€/MWh.31,€/MWh.32,€/MWh.33,€/MWh.34,€/MWh.35,€/MWh.36,€/MWh.37,€/MWh.38,€/MWh.39,€/MWh.40,€/MWh.41,€/MWh.42,€/MWh.43,€/MWh.44,€/MWh.45,€/MWh.46,€/MWh.47,€/MWh.48,€/MWh.49,€/MWh.50,€/MWh.51,€/MWh.52,€/MWh.53,€/MWh.54,€/MWh.55,€/MWh.56,€/MWh.57,€/MWh.58,€/MWh.59,€/MWh.60,€/MWh.61,€/MWh.62,€/MWh.63,€/MWh.64,€/MWh.65,€/MWh.66,€/MWh.67,€/MWh.68,€/MWh.69,€/MWh.70,€/MWh.71,€/MWh.72,€/MWh.73,€/MWh.74,€/MWh.75,€/MWh.76,€/MWh.77,€/MWh.78,€/MWh.79,€/MWh.80,€/MWh.81,€/MWh.82,€/MWh.83,€/MWh.84,€/MWh.85,€/MWh.86,€/MWh.87,€/MWh.88,€/MWh.89,€/MWh.90,€/MWh.91,€/MWh.92,€/MWh.93,€/MWh.94,€/MWh.95
UPLTROR,Bajar,FCONTR8,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FCUBI,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99",,"-189,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FCUBLA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00","-449,00","-449,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FEBISU,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,02","-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FEGA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,"0,00",,,"0,00",,"0,00",,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FESTACN,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00","-449,00","-449,00","-449,00","-449,00",,"-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00",,,"-449,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FGASN2U,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-61,10","-61,10","-61,10","-61,10","-61,10","-61,10",,"-61,10","-61,10","-61,10","-61,10","-61,10",,,"-61,10","-61,10","-61,10","-61,10","-61,10",,"-61,10","-61,10","-61,10","-61,10",,"-61,10",,,,"-61,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FGST216,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-48,25","-49,82","-58,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FGST220,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-48,25","-49,82","-58,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FGST294,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-48,25","-49,82","-58,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FGST295,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-48,25","-49,82","-58,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FGST304,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-58,24",,,,,,,,,,,,,,,,,,,,"-48,20",,,,,,"-47,37",,"-57,83",,"-64,42","-47,95","-54,00","-57,49",,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FIBGECP,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-25,00",,"-25,00",,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FJALON1,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99",,,,,,,,,,,,,,,
UPLTROR,Bajar,FLACAB,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,00","-10,00","-10,00",,,,"-10,00",,,,"-10,00",,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FNAVA1,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99",,,,,,,,,,,,,,,
UPLTROR,Bajar,FNAVA2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99",,,,,,,,,,,,,,,
UPLTROR,Bajar,FNUMAN,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99",,"-189,99",,,,,,,,,,,,,,,
UPLTROR,Bajar,FOLIVR2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FPARED3,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,"-449,00",,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,"-449,00",,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FPARED4,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,,,"-449,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FPARED5,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,,,,,,"-449,00",,,,,,,,,,,,,,,,,,"-449,00",,,,,,,,"-449,00",,"-449,00","-449,00","-449,00","-449,00","-449,00","-449,00",,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FPARED6,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,"-449,00",,"-449,00",,,,,,,"-449,00",,,,,,,,,,,,,,,,,,"-449,00",,"-449,00",,,,,"-449,00",,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FPARED7,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,"-449,00",,,"-449,00",,,,"-449,00",,,,,,,,,,,,,,,,,,,,,,,,,"-449,00",,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FSONAV,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,,,,,,,
UPLTROR,Bajar,FSOVAL,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,,,,,,,
UPLTROR,Bajar,FTREVAG,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,FVGNRA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,FWERSOL,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-449,00","-449,00","-449,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,GALPS44,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,HCGFVSA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,00","-15,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,00","-15,00","-15,00",,,"-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00",,,,,,,,,,,,,,
UPLTROR,Bajar,HCGSCS2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,00","-15,00",,,,"-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,HCGSIH2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,HCGSIHA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,00","-15,00","-15,00",,,"-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00","-15,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,HCUER,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,HFRESER,10,No aplica,Negativo,,"-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00","-449,00"
UPLTROR,Bajar,HGRCUG,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,HREGPE,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,LECDE,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-250,00","-250,00","-250,00","-250,00","-250,00","-250,00","-250,00","-250,00",,"-250,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,METEV07,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-45,00","-45,00",,"-45,00",,,,"-45,00",,"-45,00",,,,,,,,,,,"-45,00",,"-74,35",,,,,,,,,,,,,,,,,,,,,,,,,
