omie_page,omie_y,up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,ownership_pct_numeric
1,141.133,AEEXXIC,COMPRA ALMACENAMIENTO EEXXI,"ENERGÍA XXI COMERCIALIZADORA DE REFERENCIA, S.L.",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,148.453,AEONURC,REGSITI COMPRA ALM,"REGSITI COMERCIALIZADORA REGULADA, S.L.U.",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,155.773,AFALZ4C,UOF C BATERIA FVALZ,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,163.093,AFALZ5C,UOF C BATERIA FVALZII,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,170.413,AFIANHC,UOF C BATERIA ANDEVALO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,177.733,AFIBGEC,ALMACENAMIENTO COMPRA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,185.093,AFIBHEC,COMPRA HIBRIDACION EOLICA BAT,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,192.373,AFIBHFC,COMPRA HIBRIDACION FV BATERIA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,199.693,AFIOLHC,UOF C BATERIA OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,207.093,AFIREHC,UOF C BATERIA REVILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,214.333,AFIROHC,HIB ROMERAL OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,221.653,AIBCURC,AIBCURC,"CURENERGÍA COMERCIALIZADOR DE ÚLTIMO RECURSO, SAU",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,228.973,ASRIHCC,UNIDAD OFERTA BATERIA SOTO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,236.293,EGEDBAT,COMPRA BATERIA,ACCIONA GREEN ENERGY DEVELOPMENTS,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,243.613,EGLARMC,UNIDADE CARREGAMENTO,"AXPO IBERIA, S.L.",100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,250.933,FHERCON,HIB HERCULES CONSUMO,SOLARIA REPRESENTACION EN MERCADO S.L.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,258.253,IGNARMC,IGNIS COMPRA PT,IGNIS ENERGIA S.L.,100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,265.573,SMBC02,COMPRA BATERIA BATALHA,SIMPLES ENERGIA DE ESPAÑA SL,100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,272.893,UPACAC,UOF ACADIEMS COMPRA,IGNIS ENERGIA S.L.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,280.213,UPXENC,UPXENC,GNERA ENERGIA Y TECNOLOGIA,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,287.533,ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,294.853,ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,302.173,AGUB,C.H.B. AGUAYO BOMBEO,"REPSOL SERVICIOS RENOVABLES, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
